,OBJECTID,NAME,X,Y,Parish,Community,Buil_Value,Occupancy,Roof_type,Roof_shape,Constr_typ,Area,class,exposed,geom_id
0,43,Dominica_Brewery_&_Beverages,-61.3621,15.2754,St._George,Loubiere & Fond Baron,363247.0,Industry,Concrete,Flat shape,Concrete,1546.39,1.0,100.0,43
1,45,,-61.4029,15.368,St._Paul,Mahaut,407614.0,Industry,Galvanized,V shape,Concrete,1891.04,1.0,66.66666666666666,45
2,45,,-61.4029,15.368,St._Paul,Mahaut,407614.0,Industry,Galvanized,V shape,Concrete,1891.04,2.0,33.33333333333333,45
3,46,,-61.4014,15.367,St._Paul,Mahaut,342151.0,Industry,Concrete,Flat shape,Concrete,3174.68,1.0,48.38709677419355,46
4,46,,-61.4014,15.367,St._Paul,Mahaut,342151.0,Industry,Concrete,Flat shape,Concrete,3174.68,2.0,51.61290322580645,46
5,47,,-61.4019,15.3682,St._Paul,Mahaut,346115.0,Industry,Galvanized,V shape,Concrete,3211.46,2.0,100.0,47
6,48,Belfast_Distillery,-61.4018,15.3657,St._Paul,Mahaut,246527.0,Industry,Galvanized,Bell shape,Concrete,1143.71,1.0,100.0,48
7,49,,-61.4017,15.3666,St._Paul,Mahaut,173578.0,Industry,Concrete,Flat shape,Concrete,805.279,2.0,100.0,49
8,50,,-61.4013,15.3659,St._Paul,Mahaut,212046.0,Industry,Concrete,Flat shape,Concrete,983.746,1.0,100.0,50
9,51,,-61.4018,15.3661,St._Paul,Mahaut,308937.0,Industry,Concrete,Flat shape,Concrete,1433.25,1.0,100.0,51
10,52,,-61.4021,15.3678,St._Paul,Mahaut,327160.0,Industry,Galvanized,V shape,Concrete,3035.59,1.0,63.33333333333333,52
11,52,,-61.4021,15.3678,St._Paul,Mahaut,327160.0,Industry,Galvanized,V shape,Concrete,3035.59,2.0,36.666666666666664,52
12,53,,-61.4018,15.3663,St._Paul,Mahaut,57045.3,Industry,Concrete,Flat shape,Concrete,79.3952,1.0,100.0,53
13,55,,-61.4029,15.3664,St._Paul,Mahaut,55598.1,Industry,Concrete,Flat shape,Concrete,77.381,1.0,100.0,55
14,57,,-61.4015,15.3662,St._Paul,Mahaut,63554.1,Industry,Concrete,Flat shape,Concrete,88.454,1.0,100.0,57
15,58,,-61.4027,15.3662,St._Paul,Mahaut,55532.1,Industry,Concrete,Flat shape,Concrete,77.2889,1.0,100.0,58
16,62,,-61.4028,15.3663,St._Paul,Mahaut,55586.5,Industry,Concrete,Flat shape,Concrete,77.3645,1.0,100.0,62
17,63,,-61.4015,15.3664,St._Paul,Mahaut,63171.7,Industry,Concrete,Flat shape,Concrete,87.9213,2.0,100.0,63
18,65,Fine Foods Inc-Biggest Distributor in Dominica,-61.3981,15.3742,St._Paul,Jimmit,598172.0,Industry,Galvanized,V shape,Concrete,4186.68,1.0,93.02325581395348,65
19,65,Fine Foods Inc-Biggest Distributor in Dominica,-61.3981,15.3742,St._Paul,Jimmit,598172.0,Industry,Galvanized,V shape,Concrete,4186.68,2.0,6.976744186046512,65
20,77,,-61.3898,15.3004,St._Luke,Roseau,210103.0,Commercial,Galvanized,V shape,Concrete,252.376,1.0,100.0,77
21,81,Jenassief_Building_Material_Dealers,-61.389,15.3074,St._Luke,Goodwill,286457.0,Commercial,Galvanized,V shape,Concrete,1589.44,1.0,100.0,81
22,85,Raffoul_&_Co.,-61.39,15.3002,St._Luke,Roseau,527709.0,Commercial,Galvanized,V shape,Concrete,1267.77,1.0,100.0,85
23,98,,-61.4336,15.4277,St._Joseph,St. Joseph Village,106627.0,Residential,Galvanized,Bell shape,Wood,911.344,1.0,90.0,98
24,98,,-61.4336,15.4277,St._Joseph,St. Joseph Village,106627.0,Residential,Galvanized,Bell shape,Wood,911.344,2.0,10.0,98
25,100,,-61.4327,15.4275,St._Joseph,St. Joseph Village,180542.0,Commercial,Galvanized,Bell shape,Wood,215.315,1.0,33.33333333333333,100
26,100,,-61.4327,15.4275,St._Joseph,St. Joseph Village,180542.0,Commercial,Galvanized,Bell shape,Wood,215.315,2.0,66.66666666666666,100
27,101,Macoucherie_Distillery,-61.4328,15.4277,St._Joseph,St. Joseph Village,713701.0,Industry,Galvanized,V shape,Concrete,566.429,2.0,100.0,101
28,116,,-61.382,15.3027,St._Luke,Roseau,151940.0,Govermental institute,Galvanized,V shape,Concrete,337.644,1.0,100.0,116
29,117,,-61.3853,15.3021,St._Luke,Roseau,576551.0,Other,Concrete,Flat shape,Concrete,1356.59,1.0,100.0,117
30,119,All_Saints_University_School_of_Medicine,-61.3883,15.3,St._Luke,Roseau,419525.0,School,Galvanized,V shape,Concrete,839.05,1.0,100.0,119
31,124,Stadium,-61.3849,15.3026,St._Luke,Roseau,496418.0,Other,Concrete,Flat shape,Concrete,248.209,1.0,100.0,124
32,126,Stadium,-61.3848,15.3011,St._Luke,Roseau,516188.0,Other,Concrete,Flat shape,Concrete,1214.56,1.0,100.0,126
33,131,Stadium,-61.3842,15.3026,St._Luke,Roseau,421743.0,Other,Concrete,Flat shape,Concrete,992.336,2.0,100.0,131
